ingredient_id,category_path
1,Mercearia >> Especiarias e Temperos
2,Carnes e Aves >> Carne de Vaca
3,Frescos >> Vegetais
4,Frescos >> Vegetais
5,Frescos >> Vegetais
6,Carnes e Aves >> Carne de Porco e Enchidos
7,Mercearia >> Conservas e Enlatados
8,Bebidas
9,Mercearia >> Especiarias e Temperos
10,Mercearia >> Óleos e Vinagres
11,Mercearia >> Conservas e Enlatados
12,Mercearia >> Caldos e Sopas
13,Laticínios e Ovos
14,"Mercearia >> Grãos, Massa e Arroz"
15,Frescos >> Ervas e Aromáticos
16,Frescos >> Vegetais
17,Frescos >> Vegetais
18,Mercearia >> Conservas e Enlatados
19,Mercearia >> Caldos e Sopas
20,Mercearia >> Farinhas e Pastelaria
21,Mercearia >> Especiarias e Temperos
22,Mercearia >> Especiarias e Temperos
23,Mercearia >> Especiarias e Temperos
24,Mercearia >> Especiarias e Temperos
25,Mercearia >> Especiarias e Temperos
26,Mercearia >> Especiarias e Temperos
27,Mercearia >> Especiarias e Temperos
28,Bebidas
29,Mercearia >> Farinhas e Pastelaria
30,Mercearia >> Leguminosas
31,Mercearia >> Conservas e Enlatados
32,Frescos >> Ervas e Aromáticos
33,Laticínios e Ovos
34,"Cozinha Asiática >> Arroz, Massa e Wraps"
35,"Cozinha Asiática >> Molhos, Pastas e Óleos"
36,"Cozinha Asiática >> Molhos, Pastas e Óleos"
37,Cozinha Asiática >> Outros
38,Mercearia >> Especiarias e Temperos
39,Cozinha Asiática >> Outros
40,Cozinha Asiática >> Outros
41,Frescos >> Ervas e Aromáticos
42,Frescos >> Ervas e Aromáticos
43,Mercearia >> Caldos e Sopas
44,"Cozinha Asiática >> Molhos, Pastas e Óleos"
45,"Cozinha Asiática >> Molhos, Pastas e Óleos"
46,Mercearia >> Especiarias e Temperos
47,Cozinha Asiática >> Outros
48,Cozinha Asiática >> Outros
49,"Cozinha Asiática >> Molhos, Pastas e Óleos"
50,Mercearia >> Especiarias e Temperos
51,Cozinha Asiática >> Outros
52,Cozinha Asiática >> Outros
53,Mercearia >> Óleos e Vinagres
54,Carnes e Aves >> Carne de Porco e Enchidos
55,Mercearia >> Farinhas e Pastelaria
56,Mercearia >> Especiarias e Temperos
57,Carnes e Aves >> Carne de Vaca
58,Mercearia >> Óleos e Vinagres
59,Frescos >> Frutas
60,Frescos >> Vegetais
61,Mercearia >> Leguminosas
62,Frescos >> Vegetais
63,Mercearia >> Molhos e Condimentos
64,Mercearia >> Especiarias e Temperos
65,Frescos >> Vegetais
66,Mercearia >> Leguminosas
67,Frescos >> Frutas
68,"Mercearia >> Grãos, Massa e Arroz"
69,Frescos >> Vegetais
70,Frescos >> Ervas e Aromáticos
71,Mercearia >> Óleos e Vinagres
72,Peixe e Marisco >> Peixe Fresco
73,"Cozinha Asiática >> Arroz, Massa e Wraps"
74,"Cozinha Asiática >> Molhos, Pastas e Óleos"
75,Peixe e Marisco >> Peixe Fresco
76,"Cozinha Asiática >> Molhos, Pastas e Óleos"
77,Laticínios e Ovos
78,Frescos >> Ervas e Aromáticos
79,Laticínios e Ovos
80,Frescos >> Vegetais
81,Mercearia >> Molhos e Condimentos
82,Laticínios e Ovos
83,Mercearia >> Farinhas e Pastelaria
84,Frescos >> Vegetais
85,Mercearia >> Especiarias e Temperos
86,Laticínios e Ovos
87,Padaria
88,Mercearia >> Leguminosas
89,Padaria
90,Frescos >> Vegetais
91,Frescos >> Vegetais
92,Frescos >> Vegetais
93,Frescos >> Ervas e Aromáticos
94,Carnes e Aves >> Aves
95,Padaria
96,Carnes e Aves >> Aves
97,Mercearia >> Especiarias e Temperos
98,Mercearia >> Especiarias e Temperos
99,Mercearia >> Especiarias e Temperos
100,Mercearia >> Especiarias e Temperos
101,Mercearia >> Conservas e Enlatados
102,"Mercearia >> Grãos, Massa e Arroz"
103,Peixe e Marisco >> Marisco
104,Peixe e Marisco >> Marisco
105,Peixe e Marisco >> Marisco
106,Peixe e Marisco >> Marisco
107,Mercearia >> Especiarias e Temperos
108,Mercearia >> Especiarias e Temperos
109,Frescos >> Vegetais
110,Bebidas
111,Mercearia >> Caldos e Sopas
112,Mercearia >> Conservas e Enlatados
113,Mercearia >> Conservas e Enlatados
114,Mercearia >> Conservas e Enlatados
115,"Mercearia >> Grãos, Massa e Arroz"
116,Laticínios e Ovos
117,Carnes e Aves >> Carne de Porco e Enchidos
118,Mercearia >> Leguminosas
119,Mercearia >> Óleos e Vinagres
120,Mercearia >> Especiarias e Temperos
121,Mercearia >> Conservas e Enlatados
122,Laticínios e Ovos
123,Frescos >> Vegetais
124,Frescos >> Frutas
125,Frescos >> Vegetais
126,Frescos >> Vegetais
127,"Cozinha Asiática >> Arroz, Massa e Wraps"
128,Frescos >> Vegetais
129,Cozinha Asiática >> Outros
130,"Cozinha Asiática >> Molhos, Pastas e Óleos"
131,Frescos >> Frutas
