meal_id,ingredient_id,quantidade_desc,unit_desc,u_quantity,u_desc,Sub,Notas,Required,ing_name
1,1,1,qb,1,qb,,,1,sal
1,2,400,g,400,g,,,1,carne picada (vaca)
1,3,60,g,60,g,,,1,aipo
1,4,60,g,60,g,,,1,cenoura
1,5,60,g,60,g,,,1,cebola amarela
1,6,150,g,150,g,Bacon,,1,pancetta
1,7,1,colher de sopa,1,tbsp,,,1,concentrado de tomate
1,8,1,copo,1,c,,,1,vinho tinto
1,9,1,qb,1,qb,,,1,pimenta preta
1,10,3,colher de sopa,3,tbsp,,,1,azeite
1,11,200,g,200,g,eu gosto de substituir por 3 ou 4 tomates frescos passados num blender,,1,passata
1,12,200,g,200,g,,,1,caldo de vegetais
1,13,100,ml,100,ml,,,1,leite
1,14,8,doses,8,u,Outra massa,,1,tagliatele
2,10,1,colher de sopa,1,tbsp,,,1,azeite
2,15,3,dentes,3,U,,,1,alho (dentes)
2,16,1,unidades,1,U,,,1,cebola
2,17,1,unidades,1,U,,,1,pimento vermelho
2,2,500,g,500,g,,,1,carne picada (vaca)
2,7,3,colher de sopa,3,tbsp,,,1,concentrado de tomate
2,18,800,g,800,g,,,1,polpa de tomate
2,19,2,cubos,2,U,,,1,caldo de vaca
2,20,1.5,tsp,1.5,tsp,,,1,açucar
2,21,2,tsp,2,tsp,,Ajustar o picante a gosto,1,pimenta cayena
2,22,3,tsp,3,tsp,,,1,paprika
2,23,5,tsp,5,tsp,,,1,cominho em pó
2,24,4,tsp,4,tsp,,,1,paprika fumada
2,25,2,tsp,2,tsp,,,1,alho em pó
2,26,2,tsp,2,tsp,,,1,cebola em pó
2,1,1.5,tsp,1.5,tsp,,,1,sal
2,27,2,tsp,2,tsp,,,1,oregãos
2,28,1,tsp,1,tsp,,,1,café em pó
2,29,2,quadrados,2,U,,,1,chocolate negro
3,1,1,qb,1,qb,,,1,sal
3,30,470,g,470,g,,,1,feijão Frade
3,31,170,g,2,g,,,1,atum (em lata)
3,32,1,qb,1,qb,,,1,salsa
3,33,3,unidades,3,U,,,1,ovos
3,16,0.5,unidades,0.5,U,,,1,cebola
4,34,2,unidades,2,U,,,1,ramen
4,33,2,unidades,2,U,,,1,ovos
4,35,2,colher de sopa,2,tbsp,,,1,miso
4,36,1.5,colher de sopa,1.5,tbsp,,Ajustar picante a gosto,1,gochujang
4,37,1,pedaços,1,U,,,1,konbu
4,38,2,colher de sopa,2,tbsp,,,1,sementes de sesamo
4,39,1,colher de sopa,1,tbsp,,,1,sake
4,40,4,unidades,4,U,,"Sim, tem mesmo de ser secos",1,cogumelos shitake secos
4,41,1.5,tsp,1.5,tsp,,,1,gengibre
4,15,3,dentes,3,U,,,1,alho (dentes)
4,42,2,unidades,2,U,,,1,cebolinha
4,43,1,cubos,1,U,,,1,caldo de frango
4,44,2,colher de sopa,2,tbsp,,,1,molho de soja
4,45,1,tsp,1,tsp,,,1,molho de soja escuro
4,46,1,qb,1,qb,,,1,pimenta branca
4,47,1,folha,1,U,,,1,nori
4,48,4,pedaços,4,U,,,1,wakame
5,49,2.5,colher de sopa,2.5,tbsp,,,1,doubanjiang
5,50,2,colher de sopa,2,tbsp,,,1,pimentas sichuan
5,35,1,colher de sopa,1,tbsp,,"Tradicionalmente, usa-se feijao preto fermentando -  Dou Chi",1,miso
5,52,2,colher de sopa,2,tbsp,,,1,vinho shaoxing
5,51,500,g,500,g,,De preferencia versão mais suave,1,tofu
5,1,0.5,tsp,0.5,tsp,,,1,sal
5,53,3,colher de sopa,3,tbsp,,,1,oleo vegetal
5,54,300,g,300,g,,,1,carne picada (porco)
5,42,4,unidades,4,U,,,1,cebolinha
5,15,5,dentes,5,U,,,1,alho (dentes)
5,22,1,tsp,1,tsp,,,1,paprika
5,41,1.5,tsp,1.5,tsp,,,1,gengibre
5,20,2,tsp,2,tsp,,,1,açucar
5,19,1.5,canecas,1.5,c,,,1,caldo de vaca
5,44,3,tsp,3,tsp,,,1,molho de soja
5,45,0.5,tsp,0.5,tsp,,,1,molho de soja escuro
5,55,1,colher de sopa,1,tbsp,,,1,amido de milho
5,56,1,qb,1,qb,,Eu não acrescento. O doubanjiang já é picante. Sugiro rectificar o picante no fim depois de provar com pó de piri piri ou outro picante,1,chillies secos
6,57,2,unidades,2,U,,,1,bife de vaca
6,10,5,colher de sopa,5,tbsp,,,1,azeite
6,58,1,colher de sopa,1,tbsp,,,1,vinagre tinto
6,59,1,tsp,1,tsp,,,1,limão (sumo)
6,32,1.5,colher de sopa,1.5,tbsp,,,1,salsa
6,15,2,dentes,2,U,,,1,alho (dentes)
6,60,1,unidades,1,U,Outra malagueta fresca,Ajustar a picante a gosto,1,piri piri fresco
6,27,1,tsp,1,tsp,,,1,oregãos
6,9,1,qb,1,qb,,,1,pimenta preta
6,22,0.5,tsp,0.5,tsp,,,1,paprika
7,61,1,lata grande,1,g,,,1,grão cozido
7,31,3,latas,3,g,,,1,atum (em lata)
7,62,15,unidades,15,U,Broculo ou outros legumes (de preferencia cruciveros),Depende do tamanho das couves. Incluir visto que são saudaveis mas a gosto,1,couve de bruxelas
7,33,3,unidades,3,U,,,1,ovos
7,63,1.5,colher de sopa,1.5,tbsp,,Por a gosto no hummus,1,tahini
7,1,1,qb,1,qb,,,1,sal
7,59,0.5,unidades,0.5,U,,Por a gosto no hummus,1,limão (sumo)
7,15,1,dentes,1,U,,,1,alho (dentes)
7,10,1,qb,1,qb,,Por a gosto no hummus e depois por cima no produto final,1,azeite
7,64,1,qb,1,qb,,Sprinkle por cima do produto final,0,sumac
7,65,1,qb,1,qb,,Sprinkle por cima do produto final,0,izote
8,66,1,lata pequena,1,g,,,1,feijão preto
8,67,1,unidades,1,U,,,1,abacate
8,68,1,canecas,1,c,,,1,quinoa
8,33,2,unidades,2,U,,,1,ovos
8,69,8,unidades,8,U,,,1,tomate cherry
8,70,1,qb,1,qb,,,1,coentros
8,10,3,colher de sopa,3,tbsp,,,1,azeite
8,71,1,colher de sopa,1,tbsp,,,1,vinagre balsamico
8,1,1,qb,1,qb,,,1,sal
8,9,1,qb,1,qb,,,1,pimenta preta
8,27,1,qb,1,qb,,,1,oregãos
9,72,2,lombos,2,U,,de preferencia sem espinhas,1,salmão
9,73,1,canecas,1,c,,,1,arroz de sushi
9,74,3,colher de sopa,3,tbsp,,,1,vinagre de sushi
9,75,1,medalhões,1,U,,de preferencia sem espinhas,1,mimos de pescada
9,76,1,qb,1,qb,,,1,sriracha
9,77,2,unidades,2,U,,,1,queijo vache que ri
9,78,1,qb,1,qb,,,1,cebolinho
9,44,1,qb,1,qb,,,1,molho de soja
9,47,1,qb,1,qb,,,1,nori
9,38,2,colher de sopa,2,tbsp,podem usar qualquer uma das cores mas mistura das duas é mais visual,,1,sementes de sesamo
9,37,1,pedaços,1,U,,,1,konbu
